Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,6.930000,7.010000,6.860000,6.960000,6.960000,4903000
2017-01-04,7.040000,7.150000,7.000000,7.110000,7.110000,4255700
2017-01-05,7.130000,7.240000,7.090000,7.120000,7.120000,3259300
2017-01-06,7.110000,7.160000,7.040000,7.160000,7.160000,3898000
2017-01-09,7.150000,7.190000,7.070000,7.120000,7.120000,2833900
2017-01-10,7.160000,7.200000,7.110000,7.120000,7.120000,2137000
2017-01-11,7.150000,7.240000,7.090000,7.220000,7.220000,2999800
2017-01-12,7.210000,7.250000,7.100000,7.230000,7.230000,3030200
2017-01-13,7.220000,7.350000,7.210000,7.270000,7.270000,2803700
2017-01-17,7.300000,7.300000,7.130000,7.160000,7.160000,3401100
2017-01-18,7.110000,7.220000,7.110000,7.210000,7.210000,3149400
2017-01-19,7.130000,7.280000,7.090000,7.100000,7.100000,4403900
2017-01-20,7.110000,7.220000,7.100000,7.130000,7.130000,2073800
2017-01-23,7.100000,7.140000,7.020000,7.130000,7.130000,2094100
2017-01-24,7.130000,7.240000,7.120000,7.210000,7.210000,2790400
2017-01-25,7.240000,7.330000,7.240000,7.320000,7.320000,3774700
2017-01-26,7.300000,7.350000,7.240000,7.310000,7.310000,2328000
2017-01-27,7.310000,7.350000,7.190000,7.190000,7.190000,2121400
2017-01-30,7.190000,7.220000,6.990000,7.050000,7.050000,4134300
2017-01-31,7.050000,7.110000,6.980000,7.060000,7.060000,3452300
2017-02-01,7.080000,7.080000,7.000000,7.000000,7.000000,3431100
2017-02-02,6.980000,7.080000,6.970000,7.000000,7.000000,3013200
2017-02-03,6.980000,7.060000,6.960000,7.000000,7.000000,2654000
2017-02-06,6.980000,7.040000,6.970000,7.010000,7.010000,2392700
2017-02-07,7.010000,7.150000,7.010000,7.140000,7.140000,3217000
2017-02-08,7.180000,7.310000,7.120000,7.230000,7.230000,4354600
2017-02-09,7.320000,7.340000,7.250000,7.300000,7.300000,2817900
2017-02-10,7.300000,7.390000,7.280000,7.380000,7.380000,2346000
2017-02-13,7.390000,7.470000,7.350000,7.390000,7.390000,2194600
2017-02-14,7.390000,7.390000,7.310000,7.350000,7.350000,1454300
2017-02-15,7.310000,7.440000,7.310000,7.400000,7.400000,2411100
2017-02-16,7.400000,7.430000,7.350000,7.350000,7.350000,2784300
2017-02-17,7.290000,7.500000,7.260000,7.490000,7.490000,4072200
2017-02-21,7.460000,7.520000,7.290000,7.320000,7.320000,4387500
2017-02-22,7.280000,7.340000,7.200000,7.240000,7.240000,2230400
2017-02-23,7.270000,7.290000,7.150000,7.160000,7.160000,1648500
2017-02-24,7.150000,7.160000,7.040000,7.080000,7.080000,2544500
2017-02-27,7.100000,7.120000,6.990000,7.100000,7.100000,6759400
2017-02-28,7.100000,7.110000,6.930000,6.960000,6.960000,8271800
2017-03-01,7.000000,7.010000,6.890000,6.890000,6.890000,7049000
2017-03-02,6.890000,7.010000,6.880000,6.890000,6.890000,5220600
2017-03-03,6.900000,6.990000,6.810000,6.880000,6.880000,3198400
2017-03-06,6.810000,6.860000,6.690000,6.760000,6.760000,6234600
2017-03-07,6.750000,6.870000,6.720000,6.770000,6.770000,3167700
2017-03-08,6.780000,6.810000,6.660000,6.680000,6.680000,2809300
2017-03-09,6.650000,6.800000,6.650000,6.790000,6.790000,3257100
2017-03-10,6.810000,6.840000,6.760000,6.840000,6.840000,1827000
2017-03-13,6.850000,7.030000,6.810000,7.020000,7.020000,4087500
2017-03-14,7.050000,7.070000,6.950000,7.040000,7.040000,4202900
2017-03-15,7.060000,7.180000,7.010000,7.140000,7.140000,3515900
2017-03-16,7.150000,7.200000,7.110000,7.170000,7.170000,1568100
2017-03-17,7.200000,7.230000,7.150000,7.150000,7.150000,2165500
2017-03-20,7.160000,7.200000,7.060000,7.200000,7.200000,2602200
2017-03-21,7.210000,7.280000,7.000000,7.010000,7.010000,3656800
2017-03-22,7.000000,7.050000,6.900000,7.040000,7.040000,2129600
2017-03-23,7.040000,7.140000,6.980000,7.110000,7.110000,2352400
2017-03-24,7.150000,7.170000,7.010000,7.070000,7.070000,2654300
2017-03-27,6.970000,7.090000,6.950000,7.090000,7.090000,2992500
2017-03-28,7.070000,7.100000,7.000000,7.030000,7.030000,3253900
2017-03-29,7.030000,7.080000,6.980000,7.010000,7.010000,5652800
2017-03-30,7.020000,7.050000,6.830000,6.950000,6.950000,9142300
2017-03-31,7.530000,8.080000,7.470000,7.750000,7.750000,53837400
2017-04-03,7.880000,7.890000,7.520000,7.800000,7.800000,15658000
2017-04-04,7.750000,8.200000,7.720000,8.070000,8.070000,16773300
2017-04-05,8.100000,8.120000,7.920000,7.920000,7.920000,11054900
2017-04-06,7.940000,8.000000,7.870000,7.920000,7.920000,6287300
2017-04-07,7.910000,7.970000,7.810000,7.810000,7.810000,5864300
2017-04-10,7.850000,7.860000,7.710000,7.710000,7.710000,3799500
2017-04-11,7.680000,7.700000,7.510000,7.700000,7.700000,6422700
2017-04-12,9.090000,9.190000,8.800000,8.930000,8.930000,48748900
2017-04-13,8.950000,8.950000,8.600000,8.640000,8.640000,14637100
2017-04-17,8.700000,8.820000,8.670000,8.770000,8.770000,6077500
2017-04-18,8.680000,8.770000,8.630000,8.730000,8.730000,8168800
2017-04-19,8.710000,9.040000,8.710000,8.930000,8.930000,9211000
2017-04-20,8.950000,9.130000,8.880000,9.100000,9.100000,12430500
2017-04-21,9.110000,9.150000,9.050000,9.080000,9.080000,8666800
2017-04-24,9.150000,9.300000,9.140000,9.290000,9.290000,11216000
2017-04-25,9.240000,9.330000,9.150000,9.190000,9.190000,13183000
2017-04-26,9.180000,9.240000,9.100000,9.200000,9.200000,7980900
2017-04-27,9.250000,9.320000,9.170000,9.320000,9.320000,5899100
2017-04-28,9.290000,9.370000,9.150000,9.340000,9.340000,7240100
2017-05-01,9.340000,9.400000,9.310000,9.320000,9.320000,4175000
2017-05-02,9.310000,9.350000,9.250000,9.270000,9.270000,3568500
2017-05-03,9.220000,9.350000,9.200000,9.270000,9.270000,3165300
2017-05-04,9.260000,9.310000,9.190000,9.250000,9.250000,3042400
2017-05-05,9.230000,9.500000,9.230000,9.490000,9.490000,4147500
2017-05-08,9.500000,9.600000,9.400000,9.400000,9.400000,3528700
2017-05-09,9.440000,9.500000,9.400000,9.470000,9.470000,2906400
2017-05-10,9.470000,9.560000,9.440000,9.520000,9.520000,2503800
2017-05-11,9.450000,9.490000,9.370000,9.380000,9.380000,2232800
2017-05-12,9.350000,9.380000,9.240000,9.350000,9.350000,2274600
2017-05-15,9.450000,9.780000,9.450000,9.630000,9.630000,6920900
2017-05-16,9.670000,10.410000,9.650000,10.180000,10.180000,19818600
2017-05-17,10.040000,10.250000,10.010000,10.100000,10.100000,13326900
2017-05-18,10.090000,10.280000,9.950000,10.110000,10.110000,6684300
2017-05-19,10.210000,10.420000,10.090000,10.380000,10.380000,6777900
2017-05-22,10.430000,11.380000,10.400000,11.320000,11.320000,22139900
2017-05-23,11.280000,11.390000,11.100000,11.300000,11.300000,16322500
2017-05-24,11.390000,11.390000,11.010000,11.090000,11.090000,7240900
2017-05-25,11.160000,11.370000,11.040000,11.220000,11.220000,8826700
2017-05-26,11.430000,11.550000,11.070000,11.110000,11.110000,10412200
2017-05-30,10.830000,10.960000,10.520000,10.610000,10.610000,11583900
2017-05-31,10.650000,10.730000,10.440000,10.570000,10.570000,6540900
2017-06-01,10.660000,11.740000,10.650000,11.390000,11.390000,36840600
2017-06-02,11.460000,11.480000,10.900000,11.290000,11.290000,22925300
2017-06-05,11.360000,11.440000,11.070000,11.150000,11.150000,10889300
2017-06-06,11.030000,11.290000,10.980000,11.150000,11.150000,8152100
2017-06-07,11.190000,11.340000,11.000000,11.040000,11.040000,8397900
2017-06-08,11.050000,11.190000,10.970000,11.170000,11.170000,5741400
2017-06-09,11.270000,11.630000,10.780000,11.030000,11.030000,16248400
2017-06-12,11.090000,11.090000,10.560000,10.600000,10.600000,12574800
2017-06-13,10.710000,10.860000,10.590000,10.840000,10.840000,5072200
2017-06-14,10.930000,10.930000,10.450000,10.570000,10.570000,5495800
2017-06-15,10.450000,10.540000,10.340000,10.540000,10.540000,5036900
2017-06-16,10.500000,10.660000,10.440000,10.530000,10.530000,4634000
2017-06-19,10.630000,10.830000,10.590000,10.740000,10.740000,5546200
2017-06-20,10.760000,10.870000,10.650000,10.730000,10.730000,4175300
2017-06-21,10.780000,10.790000,10.520000,10.650000,10.650000,7015400
2017-06-22,10.720000,11.140000,10.460000,11.060000,11.060000,17370000
2017-06-23,10.210000,10.270000,9.620000,9.710000,9.710000,39609800
2017-06-26,9.600000,10.320000,9.520000,10.270000,10.270000,19926200
2017-06-27,10.100000,10.420000,9.970000,9.990000,9.990000,12184100
2017-06-28,10.080000,10.300000,10.040000,10.230000,10.230000,7327700
2017-06-29,10.220000,10.230000,9.900000,10.000000,10.000000,7917200
2017-06-30,10.080000,10.080000,9.800000,9.990000,9.990000,5770300
2017-07-03,9.980000,10.110000,9.900000,9.910000,9.910000,2265500
2017-07-05,9.900000,9.900000,9.690000,9.900000,9.900000,6879400
2017-07-06,9.850000,9.880000,9.700000,9.710000,9.710000,4121100
2017-07-07,9.730000,9.930000,9.730000,9.900000,9.900000,4338200
2017-07-10,9.900000,9.930000,9.760000,9.860000,9.860000,3455800
2017-07-11,9.850000,9.950000,9.790000,9.940000,9.940000,3233300
2017-07-12,10.000000,10.040000,9.890000,9.900000,9.900000,3880000
2017-07-13,9.880000,9.960000,9.820000,9.890000,9.890000,2697700
2017-07-14,9.890000,10.050000,9.890000,9.970000,9.970000,3349800
2017-07-17,10.000000,10.000000,9.860000,9.940000,9.940000,2671900
2017-07-18,9.950000,9.990000,9.780000,9.880000,9.880000,3216100
2017-07-19,9.930000,10.240000,9.820000,10.140000,10.140000,6303300
2017-07-20,10.330000,10.380000,10.090000,10.130000,10.130000,4864200
2017-07-21,10.130000,10.170000,10.000000,10.040000,10.040000,3360700
2017-07-24,10.020000,10.140000,9.950000,10.090000,10.090000,3129700
2017-07-25,10.060000,10.070000,9.850000,9.980000,9.980000,5087000
2017-07-26,9.990000,10.000000,9.870000,9.870000,9.870000,3888700
2017-07-27,9.890000,9.910000,9.570000,9.740000,9.740000,4754700
2017-07-28,9.720000,9.750000,9.630000,9.720000,9.720000,2903900
2017-07-31,9.690000,9.780000,9.370000,9.380000,9.380000,5809800
2017-08-01,9.380000,9.550000,9.380000,9.510000,9.510000,2668500
2017-08-02,9.490000,9.600000,9.380000,9.500000,9.500000,2455300
2017-08-03,9.500000,9.550000,9.410000,9.420000,9.420000,2346300
2017-08-04,9.450000,9.470000,9.320000,9.440000,9.440000,2860500
2017-08-07,9.210000,9.290000,9.020000,9.100000,9.100000,5968500
2017-08-08,9.150000,9.170000,8.970000,9.030000,9.030000,4473800
2017-08-09,8.910000,9.030000,8.860000,8.950000,8.950000,3349000
2017-08-10,8.860000,8.950000,8.700000,8.730000,8.730000,4087400
2017-08-11,8.710000,8.880000,8.690000,8.780000,8.780000,2997100
2017-08-14,8.830000,9.000000,8.790000,8.950000,8.950000,2693400
2017-08-15,8.970000,9.010000,8.800000,8.820000,8.820000,3952400
2017-08-16,8.900000,8.910000,8.810000,8.830000,8.830000,3874500
2017-08-17,8.810000,8.900000,8.690000,8.720000,8.720000,5144000
2017-08-18,8.740000,8.770000,8.630000,8.680000,8.680000,4295900
2017-08-21,8.620000,8.680000,8.470000,8.580000,8.580000,5013400
2017-08-22,8.670000,8.890000,8.670000,8.790000,8.790000,3311800
2017-08-23,8.750000,8.850000,8.730000,8.830000,8.830000,1822400
2017-08-24,8.890000,8.990000,8.810000,8.950000,8.950000,2581400
2017-08-25,8.960000,9.030000,8.900000,8.990000,8.990000,3513700
2017-08-28,8.980000,9.020000,8.850000,8.990000,8.990000,2228100
2017-08-29,8.920000,9.070000,8.850000,9.030000,9.030000,3492100
2017-08-30,9.040000,9.110000,9.000000,9.070000,9.070000,4106600
2017-08-31,9.090000,9.300000,9.070000,9.270000,9.270000,3091600
2017-09-01,9.330000,9.330000,9.160000,9.180000,9.180000,3625600
2017-09-05,9.070000,9.100000,8.890000,9.010000,9.010000,3549300
2017-09-06,9.010000,9.150000,8.970000,9.060000,9.060000,2268400
2017-09-07,9.070000,9.150000,9.040000,9.110000,9.110000,1699600
2017-09-08,9.100000,9.120000,9.000000,9.010000,9.010000,1488800
2017-09-11,9.060000,9.170000,9.050000,9.160000,9.160000,2221900
2017-09-12,9.100000,9.320000,9.030000,9.280000,9.280000,2175000
2017-09-13,9.310000,9.340000,9.140000,9.180000,9.180000,2802900
2017-09-14,9.130000,9.310000,9.090000,9.270000,9.270000,1920400
2017-09-15,9.280000,9.350000,9.220000,9.270000,9.270000,2951900
2017-09-18,9.300000,9.350000,9.240000,9.260000,9.260000,2966000
2017-09-19,9.260000,9.310000,9.110000,9.140000,9.140000,4285200
2017-09-20,9.150000,9.950000,9.070000,9.850000,9.850000,22585600
2017-09-21,9.840000,9.860000,9.550000,9.610000,9.610000,8271000
2017-09-22,9.580000,9.630000,9.120000,9.130000,9.130000,13302100
2017-09-25,9.140000,9.230000,9.070000,9.140000,9.140000,5663200
2017-09-26,9.180000,9.250000,9.110000,9.140000,9.140000,3113300
2017-09-27,9.140000,9.310000,9.140000,9.230000,9.230000,7518400
2017-09-28,9.880000,10.830000,9.780000,10.470000,10.470000,48211300
2017-09-29,10.440000,11.340000,10.410000,11.180000,11.180000,37658100
2017-10-02,11.130000,11.520000,11.070000,11.340000,11.340000,17449700
2017-10-03,11.320000,11.380000,11.040000,11.120000,11.120000,12461700
2017-10-04,11.000000,11.140000,10.910000,11.080000,11.080000,8385600
2017-10-05,11.020000,11.200000,10.980000,11.020000,11.020000,4402800
2017-10-06,11.050000,11.110000,10.950000,11.070000,11.070000,3098400
2017-10-09,11.090000,11.540000,11.060000,11.270000,11.270000,6470100
2017-10-10,11.320000,11.490000,11.260000,11.340000,11.340000,6126900
2017-10-11,11.440000,11.450000,11.330000,11.390000,11.390000,3804700
2017-10-12,11.470000,11.550000,11.340000,11.490000,11.490000,4778400
2017-10-13,11.490000,11.780000,11.460000,11.570000,11.570000,8264100
2017-10-16,11.770000,11.770000,11.350000,11.370000,11.370000,4060300
2017-10-17,11.370000,11.430000,11.140000,11.270000,11.270000,5185000
2017-10-18,11.260000,11.350000,11.240000,11.250000,11.250000,2538800
2017-10-19,11.190000,11.270000,11.060000,11.230000,11.230000,3165800
2017-10-20,11.180000,11.250000,11.070000,11.120000,11.120000,4526400
2017-10-23,11.120000,11.180000,10.990000,11.000000,11.000000,3626700
2017-10-24,11.010000,11.100000,10.970000,11.020000,11.020000,3680500
2017-10-25,11.060000,11.100000,10.730000,10.750000,10.750000,4471000
2017-10-26,10.750000,10.800000,10.670000,10.740000,10.740000,2933300
2017-10-27,10.690000,10.740000,10.640000,10.690000,10.690000,2554100
2017-10-30,10.670000,11.090000,10.650000,11.090000,11.090000,4108600
2017-10-31,11.070000,11.130000,10.890000,10.940000,10.940000,3399200
2017-11-01,10.970000,11.040000,10.770000,10.780000,10.780000,2337600
2017-11-02,10.780000,10.840000,10.700000,10.710000,10.710000,2097800
2017-11-03,10.770000,11.120000,10.650000,10.950000,10.950000,6405200
2017-11-06,11.030000,11.040000,10.860000,10.970000,10.970000,1884700
2017-11-07,10.920000,10.990000,10.770000,10.830000,10.830000,2041300
2017-11-08,10.850000,10.900000,10.750000,10.820000,10.820000,1443300
2017-11-09,10.800000,10.840000,10.690000,10.760000,10.760000,1776700
2017-11-10,10.700000,10.870000,10.660000,10.780000,10.780000,1804200
2017-11-13,10.720000,10.770000,10.640000,10.690000,10.690000,2337300
2017-11-14,10.630000,10.680000,10.360000,10.400000,10.400000,3468900
2017-11-15,10.310000,10.370000,10.060000,10.330000,10.330000,5503000
2017-11-16,10.380000,10.530000,10.370000,10.380000,10.380000,2124800
2017-11-17,10.390000,10.410000,10.200000,10.300000,10.300000,2753200
2017-11-20,10.280000,10.300000,10.230000,10.240000,10.240000,1704800
2017-11-21,10.240000,10.670000,10.240000,10.540000,10.540000,4253000
2017-11-22,10.600000,10.780000,10.580000,10.730000,10.730000,2865100
2017-11-24,10.700000,10.800000,10.700000,10.790000,10.790000,1054900
2017-11-27,10.730000,10.930000,10.710000,10.880000,10.880000,2203100
2017-11-28,10.870000,11.040000,10.870000,10.930000,10.930000,2993600
2017-11-29,10.920000,10.940000,10.550000,10.650000,10.650000,3238400
2017-11-30,10.690000,10.820000,10.630000,10.770000,10.770000,2199100
2017-12-01,10.850000,10.850000,10.600000,10.790000,10.790000,2876100
2017-12-04,10.820000,10.900000,10.440000,10.440000,10.440000,3351500
2017-12-05,10.470000,10.610000,10.340000,10.340000,10.340000,2838700
2017-12-06,10.330000,10.330000,10.130000,10.210000,10.210000,3528700
2017-12-07,10.340000,10.360000,10.230000,10.290000,10.290000,2352700
2017-12-08,10.330000,10.370000,10.220000,10.250000,10.250000,2884500
2017-12-11,10.330000,10.580000,10.280000,10.560000,10.560000,3513400
2017-12-12,10.590000,10.680000,10.460000,10.660000,10.660000,3868100
2017-12-13,10.690000,10.790000,10.650000,10.650000,10.650000,2967400
2017-12-14,10.700000,10.830000,10.620000,10.670000,10.670000,2959500
2017-12-15,10.740000,10.930000,10.700000,10.840000,10.840000,5425400
2017-12-18,10.920000,11.200000,10.840000,10.940000,10.940000,6173700
2017-12-19,10.980000,11.070000,10.810000,10.870000,10.870000,10480100
2017-12-20,11.620000,12.360000,11.580000,12.170000,12.170000,29639600
2017-12-21,12.230000,12.300000,11.790000,11.800000,11.800000,13246400
2017-12-22,11.730000,11.810000,11.560000,11.600000,11.600000,4822600
2017-12-26,11.480000,11.630000,11.270000,11.280000,11.280000,4165900
2017-12-27,11.310000,11.400000,11.200000,11.220000,11.220000,3787300
2017-12-28,11.340000,11.390000,11.250000,11.350000,11.350000,2608800
2017-12-29,11.410000,11.430000,11.160000,11.170000,11.170000,2667300
